Dataset,LD_0.0,LD_0.2,LD_0.4,LD_0.6,LD_0.8
ALMA,0.2778,0.2994,0.2806,0.2872,0.2717
ALMD,0.2787,0.2939,0.2641,0.2815,0.2667
CLMA,0.3013,0.2898,0.2638,0.2981,0.2546
CLMD,0.3406,0.2929,0.3504,0.3472,0.3333
Y_age,0.27190,0.2755,0.2962,0.2716,0.2675
Y_bf,0.2247,0.2525,0.2306,0.2546,0.2622
Z_age,0.4051,0.406,0.3633,0.3815,0.3314
Z_bf,0.4394,0.4275,0.437,0.4293,0.4096
HT,0.6476,0.6149,0.647,0.623,0.6199
MO,0.6113,0.6155,0.6197,0.589,0.5831
YLD,0.4691,0.5016,0.4992,0.4395,0.4317
Env1,0.5285,0.5524,0.5506,0.5476,0.5812
Env2,0.462,0.4469,0.4107,0.4534,0.4575
Env4,0.4153,0.4286,0.4071,0.3842,0.4256
Env5,0.5199,0.5261,0.5083,0.4784,0.4739
